feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Ebf1	13	18.1319832402235	18.0327382192767	60798971.5	0.95117015777051	0	0	90.7821229050279	1.11118578757533
Iglc2	13	17.4699720670391	17.4131358101222	60515962	0.946742612630777	0	0	89.9441340782123	1.15151107825347
Iglc3	13	7.64525139664805	7.47953685490017	60499564	0.946486073944969	0	0	91.4106145251397	2.07227188207093
Ighm	13	86.409217877095	84.4640826753565	59814459.2119141	0.935767944784296	0	0	95.6703910614525	54.6766135717006
Ms4a1	13	6.62360335195531	6.59474836618117	59724680	0.934363392946428	0	0	87.2905027932961	0.802025225709613
Bank1	13	15.5712290502793	15.0712850576275	59243218	0.926831155554871	0	0	89.3156424581006	14.7859399153169
Pax5	13	4.31284916201117	4.28748903476248	58841820.5	0.920551488087081	0	0	84.6368715083799	0.690010529381455
Ralgps2	13	4.48393854748603	3.98244875202487	57278438.1083984	0.896093135595455	0	0	90.9916201117318	26.3413759885297
Mzb1	13	15.0810055865922	15.0042531166681	56989451	0.89157207369741	0	0	79.9581005586592	1.80791719873647
Aff3	13	9.85405027932961	8.40130927971046	56707101.5	0.887154853934713	0	0	92.5279329608938	26.1195868897999
Fcmr	13	2.95670391061453	2.94232122360599	55628027	0.870273261416144	0	0	74.4413407821229	0.504066133476712
Ighd	13	3.1536312849162	3.091709560786	54443968.5	0.851749245590407	0	0	72.5558659217877	4.52315343773103
Pou2af1	13	2.41201117318436	2.39435765704304	54391645.5	0.850930677859125	0	0	70.8798882681564	0.938683155229966
Fcrla	13	2.1836592178771	2.08280118530322	54255269	0.848797134251053	0	0	72.9748603351955	3.795057911598
H2-DMb2	13	3.17737430167598	2.77931887680423	54020256.5	0.845120478689486	0	0	79.7486033519553	17.0172726661738
Gm31243	13	2.23463687150838	2.18624652269462	53929715	0.843704001227531	0	0	70.8798882681564	3.52398234648386
Tmem123	14	17.7896890343699	16.8596156738329	53024163.4169922	0.967540655084757	0	0	98.5270049099836	46.8660111044217
Cacnb3	14	7.51472995090016	7.50288969402679	52879019	0.964892180969397	0	0	93.126022913257	0.773741833344482
Ccr7	14	17.3404255319149	17.222959480674	52537459.5	0.958659688439877	0	0	92.8805237315876	5.7796508127634
Fscn1	14	20.6374795417349	20.3267341184067	52172826	0.952006160826789	0	0	92.7986906710311	16.3489196601779
Relb	14	9.93371522094926	9.00355266827015	51986994.5585938	0.948615263866481	0	0	98.2815057283142	43.9494280553883
Traf1	14	9.71276595744681	8.94254721371813	51949054.3764648	0.947922963105744	0	0	96.5630114566285	32.691149909693
Tbc1d4	14	13.0908346972177	12.5485687708458	51632837.5	0.942152901607601	0	0	94.1080196399345	20.6457511093273
Socs2	14	7.70785597381342	7.49771928685554	51580195.5	0.941192334351416	0	0	91.4893617021277	11.5548420184182
Mreg	14	7.84451718494272	7.78451317129632	51548416	0.940612448573559	0	0	89.1162029459902	2.5018395879323
Pcgf5	14	16.2454991816694	14.9859723459836	51266905.390625	0.935475678055069	0	0	95.9901800327332	48.8438468570919
Samsn1	14	18.4345335515548	16.4883164132847	51040070.6005859	0.931336586229623	0	0	96.9721767594108	59.1277008495552
Cytip	14	16.2553191489362	14.2555198312561	50688762.1196289	0.924926202436692	0	0	97.8723404255319	51.6578589426272
Gadd45b	14	8.63829787234043	7.9521873186802	50578440	0.922913136524522	0	0	92.7168576104746	23.3371239993757
