group1	day1	celltype1	group2	day2	celltype2	valtype	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15
NEO	16	M4	CTRL	12	M4	p	0.000000e+00	0.000000e+00	8.898986e-01	9.816368e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.000000e+00	7.708531e-01	1.000000e+00	7.708531e-01	0.000000e+00	1.000000e+00	3.343426e-06
CTRL	16	M5	CTRL	12	M5	p	0.9999806	0.9999806	1.0000000	1.0000000	0.9999806	0.9998964	0.9999806	0.9999997	1.0000000	1.0000000	0.9999979	1.0000000	0.9999997	1.0000000	0.9984115
NEO	12	M5	CTRL	12	M5	p	1.000000e+00	1.000000e+00	6.177786e-05	7.373430e-02	1.000000e+00	2.372328e-01	1.000000e+00	1.000000e+00	1.693316e-01	7.576922e-03	6.420455e-02	7.576922e-03	1.000000e+00	1.693316e-01	9.749376e-01
NEO	16	M5	CTRL	12	M5	p	1.0000000000	1.0000000000	0.0002821237	0.8156252773	1.0000000000	0.9996250195	1.0000000000	1.0000000000	0.8587165100	0.2947808853	0.5234979367	0.2947808853	1.0000000000	0.8587165100	0.9999868692
CTRL	16	M6	CTRL	12	M6	p	0.4053915	0.4053915	0.9999997	1.0000000	0.4053915	0.2347216	0.4053915	0.4214818	1.0000000	1.0000000	0.9990600	1.0000000	0.4214818	1.0000000	0.1086524
NEO	12	M6	CTRL	12	M6	p	1.000000000	1.000000000	0.000000000	0.063666970	1.000000000	0.660238812	1.000000000	1.000000000	0.911265261	0.001155523	0.995192744	0.001155523	1.000000000	0.911265261	0.990838006
NEO	16	M6	CTRL	12	M6	p	9.993081e-01	9.993081e-01	4.038314e-07	9.990810e-03	9.993081e-01	5.566635e-04	9.993081e-01	9.757043e-01	3.048875e-02	2.487490e-05	2.044859e-03	2.487490e-05	9.757043e-01	3.048875e-02	2.977271e-02
CTRL	16	M7	CTRL	12	M7	p	0.9993265	0.9993265	0.9927877	1.0000000	0.9993265	1.0000000	0.9993265	0.9999999	1.0000000	0.9962523	1.0000000	0.9962523	0.9999999	1.0000000	1.0000000
NEO	12	M7	CTRL	12	M7	p	1.00000000	1.00000000	0.00727556	0.62193430	1.00000000	0.57506207	1.00000000	1.00000000	0.96271245	0.03818837	0.95994291	0.03818837	1.00000000	0.96271245	1.00000000
NEO	16	M7	CTRL	12	M7	p	9.907916e-01	9.907916e-01	0.000000e+00	5.224791e-05	9.907916e-01	3.798617e-04	9.907916e-01	9.821637e-01	8.039617e-05	1.077968e-04	1.202049e-04	1.077968e-04	9.821637e-01	8.039617e-05	5.462342e-03
CTRL	16	M8	CTRL	12	M8	p	1.000000e+00	1.000000e+00	0.000000e+00	6.952846e-03	1.000000e+00	2.244889e-01	1.000000e+00	1.000000e+00	1.509279e-02	1.351971e-04	5.163385e-05	1.351971e-04	1.000000e+00	1.509279e-02	2.943658e-01
NEO	12	M8	CTRL	12	M8	p	0.9947241	0.9947241	1.0000000	1.0000000	0.9947241	0.9917083	0.9947241	0.9714351	1.0000000	1.0000000	1.0000000	1.0000000	0.9714351	1.0000000	0.9911292
NEO	16	M8	CTRL	12	M8	p	1.0000000	1.0000000	0.0000000	0.0000000	1.0000000	0.0000000	1.0000000	0.9999991	0.0000000	0.0000000	0.0000000	0.0000000	0.9999991	0.0000000	0.0000000
CTRL	16	M9	CTRL	12	M9	p	0.9728403	0.9728403	1.0000000	1.0000000	0.9728403	0.9999973	0.9728403	0.9725533	1.0000000	1.0000000	1.0000000	1.0000000	0.9725533	1.0000000	0.9999973
NEO	12	M9	CTRL	12	M9	p	1.0000000	1.0000000	0.9997072	0.6117189	1.0000000	0.6971081	1.0000000	0.9999977	0.7508410	0.6829341	0.9422883	0.6829341	0.9999977	0.7508410	0.9995769
NEO	16	M9	CTRL	12	M9	p	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
